,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
0,Male,19,15,39,4,0
1,Male,21,15,81,4,2
2,Female,20,16,6,4,0
3,Female,23,16,77,4,2
4,Female,31,17,40,4,0
5,Female,22,17,76,4,2
6,Female,35,18,6,4,0
7,Female,23,18,94,4,2
8,Male,64,19,3,4,0
9,Female,30,19,72,4,2
10,Male,67,19,14,4,0
11,Female,35,19,99,4,2
12,Female,58,20,15,4,0
13,Female,24,20,77,4,2
14,Male,37,20,13,4,0
15,Male,22,20,79,4,2
16,Female,35,21,35,4,0
17,Male,20,21,66,4,2
18,Male,52,23,29,4,0
19,Female,35,23,98,4,2
20,Male,35,24,35,4,0
21,Male,25,24,73,4,2
22,Female,46,25,5,4,0
23,Male,31,25,73,4,2
24,Female,54,28,14,4,0
25,Male,29,28,82,4,2
26,Female,45,28,32,4,0
27,Male,35,28,61,4,2
28,Female,40,29,31,4,0
29,Female,23,29,87,4,2
30,Male,60,30,4,4,0
31,Female,21,30,73,4,2
32,Male,53,33,4,0,0
33,Male,18,33,92,0,2
34,Female,49,33,14,0,0
35,Female,21,33,81,0,2
36,Female,42,34,17,0,0
37,Female,30,34,73,0,2
38,Female,36,37,26,0,0
39,Female,20,37,75,0,2
40,Female,65,38,35,0,0
41,Male,24,38,92,0,2
42,Male,48,39,36,0,0
43,Female,31,39,61,0,2
44,Female,49,39,28,0,0
45,Female,24,39,65,0,2
46,Female,50,40,55,0,2
47,Female,27,40,47,0,2
48,Female,29,40,42,0,2
49,Female,31,40,42,0,2
50,Female,49,42,52,0,2
51,Male,33,42,60,0,2
52,Female,31,43,54,0,2
53,Male,59,43,60,0,2
54,Female,50,43,45,0,2
55,Male,47,43,41,0,2
56,Female,51,44,50,0,2
57,Male,69,44,46,0,2
58,Female,27,46,51,0,2
59,Male,53,46,46,0,2
60,Male,70,46,56,0,2
61,Male,19,46,55,0,2
62,Female,67,47,52,0,2
63,Female,54,47,59,0,2
64,Male,63,48,51,0,2
65,Male,18,48,59,0,2
66,Female,43,48,50,0,2
67,Female,68,48,48,0,2
68,Male,19,48,59,0,2
69,Female,32,48,47,0,2
70,Male,70,49,55,0,2
71,Female,47,49,42,0,2
72,Female,60,50,49,0,2
73,Female,60,50,56,0,2
74,Male,59,54,47,3,2
75,Male,26,54,54,3,2
76,Female,45,54,53,3,2
77,Male,40,54,48,3,2
78,Female,23,54,52,3,2
79,Female,49,54,42,3,2
80,Male,57,54,51,3,2
81,Male,38,54,55,3,2
82,Male,67,54,41,3,2
83,Female,46,54,44,3,2
84,Female,21,54,57,3,2
85,Male,48,54,46,3,2
86,Female,55,57,58,3,2
87,Female,22,57,55,3,2
88,Female,34,58,60,3,2
89,Female,50,58,46,3,2
90,Female,68,59,55,3,2
91,Male,18,59,41,3,2
92,Male,48,60,49,3,2
93,Female,40,60,40,3,2
94,Female,32,60,42,3,2
95,Male,24,60,52,3,2
96,Female,47,60,47,3,2
97,Female,27,60,50,3,2
98,Male,48,61,42,3,2
99,Male,20,61,49,3,2
100,Female,23,62,41,3,2
101,Female,49,62,48,3,2
102,Male,67,62,59,3,2
103,Male,26,62,55,3,2
104,Male,49,62,56,3,2
105,Female,21,62,42,3,2
106,Female,66,63,50,3,2
107,Male,54,63,46,3,2
108,Male,68,63,43,3,2
109,Male,66,63,48,3,2
110,Male,65,63,52,3,2
111,Female,19,63,54,3,2
112,Female,38,64,42,3,2
113,Male,19,64,46,3,2
114,Female,18,65,48,3,2
115,Female,19,65,50,3,2
116,Female,63,65,43,3,2
117,Female,49,65,59,3,2
118,Female,51,67,43,3,2
119,Female,50,67,57,3,2
120,Male,27,67,56,3,2
121,Female,38,67,40,3,2
122,Female,40,69,58,3,2
123,Male,39,69,91,3,1
124,Female,23,70,29,1,3
125,Female,31,70,77,1,1
126,Male,43,71,35,1,3
127,Male,40,71,95,1,1
128,Male,59,71,11,1,3
129,Male,38,71,75,1,1
130,Male,47,71,9,1,3
131,Male,39,71,75,1,1
132,Female,25,72,34,1,3
133,Female,31,72,71,1,1
134,Male,20,73,5,1,3
135,Female,29,73,88,1,1
136,Female,44,73,7,1,3
137,Male,32,73,73,1,1
138,Male,19,74,10,1,3
139,Female,35,74,72,1,1
140,Female,57,75,5,1,3
141,Male,32,75,93,1,1
142,Female,28,76,40,1,3
143,Female,32,76,87,1,1
144,Male,25,77,12,1,3
145,Male,28,77,97,1,1
146,Male,48,77,36,1,3
147,Female,32,77,74,1,1
148,Female,34,78,22,1,3
149,Male,34,78,90,1,1
150,Male,43,78,17,1,3
151,Male,39,78,88,1,1
152,Female,44,78,20,1,3
153,Female,38,78,76,1,1
154,Female,47,78,16,1,3
155,Female,27,78,89,1,1
156,Male,37,78,1,1,3
157,Female,30,78,78,1,1
158,Male,34,78,1,1,3
159,Female,30,78,73,1,1
160,Female,56,79,35,1,3
161,Female,29,79,83,1,1
162,Male,19,81,5,1,3
163,Female,31,81,93,1,1
164,Male,50,85,26,1,3
165,Female,36,85,75,1,1
166,Male,42,86,20,1,3
167,Female,33,86,95,1,1
168,Female,36,87,27,1,3
169,Male,32,87,63,1,1
170,Male,40,87,13,1,3
171,Male,28,87,75,1,1
172,Male,36,87,10,1,3
173,Male,36,87,92,1,1
174,Female,52,88,13,1,3
175,Female,30,88,86,1,1
176,Male,58,88,15,1,3
177,Male,27,88,69,1,1
178,Male,59,93,14,5,3
179,Male,35,93,90,5,4
180,Female,37,97,32,5,3
181,Female,32,97,86,5,4
182,Male,46,98,15,5,3
183,Female,29,98,88,5,4
184,Female,41,99,39,5,3
185,Male,30,99,97,5,4
186,Female,54,101,24,5,3
187,Male,28,101,68,5,4
188,Female,41,103,17,5,3
189,Female,36,103,85,5,4
190,Female,34,103,23,5,3
191,Female,32,103,69,5,4
192,Male,33,113,8,5,3
193,Female,38,113,91,5,4
194,Female,47,120,16,2,3
195,Female,35,120,79,2,4
196,Female,45,126,28,2,3
197,Male,32,126,74,2,4
198,Male,32,137,18,2,3
199,Male,30,137,83,2,4
